Run order,Stage,Journey ID,Priority,Automation,Tier,Phase,Manual test,Exact manual steps,Expected result,Automated test exists,What remains manual,Result (PASS/FAIL/BLOCKED/NOT RUN),Tester,Run date,Evidence path or URL,Defect link,Notes
29,C,NR-26,P1,PARTIAL,Pro,15 macOS privacy and lifecycle,Native notification permission and stale targets recover,"Deny then grant Notifications, click meeting/approval/to-do notifications, click a stale target, and change notification settings while delivery is pending.","Delivery follows permission, clicks focus the app and open the exact live record, stale targets fail closed with a recoverable fallback, and no duplicate notification appears.",Yes,"Exercise real notification permission, delivery, click/focus, and stale records.",NOT RUN,,,,,Use synthetic notification content.
30,C,NR-31,P2,PARTIAL,Both,15 macOS privacy and lifecycle,TTS output-device changes recover,"Play speech, switch output device and volume, disconnect Bluetooth audio, press Stop, reconnect, and synthesize again.","Playback stops promptly, no old audio continues, device loss is visible, resources release, and the next synthesis plays through the active output.",Yes,Exercise real CoreAudio output routing and physical/Bluetooth devices.,NOT RUN,,,,,Audible output is mandatory evidence.
31,D,138,P0,PARTIAL,Pro,11 Settings privacy licensing and updates,Pro license activates,Run a Pro build without override; enter a valid test key; restart,Entitlement persists and Pro screens unlock,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro artifact only; use a test entitlement
32,D,139,P1,PARTIAL,Pro,11 Settings privacy licensing and updates,Invalid or exhausted license fails clearly,Enter an invalid key and a key at its device limit,Activation explains the real reason and the app remains locked,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro artifact only
33,D,140,P0,PARTIAL,Pro,11 Settings privacy licensing and updates,Offline entitlement behavior,Activate online; quit; disable network; reopen,The signed cached entitlement follows policy without exposing Pro on an unentitled profile,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro artifact only
34,E,17,P0,PARTIAL,Both,2 Models and downloads,Text model downloads,Models -> choose a small chat model -> Download,Progress advances and the model becomes available for activation,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
35,E,18,P1,PARTIAL,Both,2 Models and downloads,Vision model downloads,Download a vision-capable GGUF and its projector,All required files complete and the model is not marked ready early,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
36,E,19,P1,PARTIAL,Both,2 Models and downloads,Speech model downloads,Download a Whisper or Parakeet model,The model becomes selectable for dictation and is not falsely shown as resident,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro use path; model management is core
37,E,20,P1,PARTIAL,Both,2 Models and downloads,TTS model downloads,Download the supported voice model,The model becomes selectable and can speak a reply,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro use path; model management is core
38,E,21,P1,PARTIAL,Both,2 Models and downloads,Image model downloads,Download an image model and wait for extraction,It becomes usable only after every required file and extraction step completes,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
39,E,22,P1,PARTIAL,Both,2 Models and downloads,Multiple downloads queue,Start more downloads than the concurrency limit,Running and queued counts agree; the queue drains without dropping an item,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
40,E,23,P1,PARTIAL,Both,2 Models and downloads,Delete does not cancel another download,Delete an installed model while another model is downloading,The in-flight download continues and only the selected model is removed,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
41,E,24,P1,PARTIAL,Both,2 Models and downloads,Offline download fails clearly,Disable network access and start a new model download,A connection error appears with a usable retry path and no phantom ready model,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Real network boundary
42,E,25,P0,PARTIAL,Both,2 Models and downloads,Interrupted download recovers,Quit the app during a download and reopen,The item resumes or becomes explicitly retryable; it never remains falsely ready,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
43,E,26,P0,PARTIAL,Both,2 Models and downloads,Truncated GGUF is rejected,Interrupt or substitute a file below the integrity floor,The file is not promoted to installed or loadable,Yes,"ts` drives the real model manager against a temp filesystem, with only HTTP delivery faked, and proves truncated downloads and local imports are rejected before promotion, installation, copying, or registration.",NOT RUN,,,,,Adversarial release check
44,E,27,P0,PARTIAL,Both,2 Models and downloads,Disk write failure does not crash,Use a nearly full disposable volume or unwritable test location and start a download,The download fails; Off Grid AI Desktop stays open and other features remain usable,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Never risk a real data volume
45,E,28,P0,PARTIAL,Both,2 Models and downloads,Active text model survives relaunch,Activate a chat model; quit fully; reopen,The same model remains active and answers a new message,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
46,E,29,P1,PROVEN,Both,2 Models and downloads,Active modal models survive relaunch,Activate image STT and TTS choices; quit fully; reopen,Each modality restores its own selection without cross-over,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
47,E,30,P1,PROVEN,Both,2 Models and downloads,Deleting active model clears selection,Activate then delete a model for each available modality,No dangling active pointer remains; the UI asks for or selects a valid replacement,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
48,E,31,P2,PARTIAL,Both,2 Models and downloads,Models use desktop density,Resize the window across normal desktop widths,Model cards form a dense multi-column grid; controls stay beside their card content,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Visual check against docs/DESIGN.md
49,E,32,P0,PARTIAL,Both,3 Chat and conversations,First local message replies,Select a local text model; create a chat; send a prompt,A response streams into one assistant bubble and is persisted,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
50,E,33,P0,PARTIAL,Both,3 Chat and conversations,No memory scope works,Choose No memory and send a prompt,The reply uses the conversation only and the selected scope remains visible,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
51,E,34,P0,PARTIAL,Both,3 Chat and conversations,All memory scope works,Seed or capture memory; choose All memory; ask about it,The answer uses retrieved local context and citations where applicable,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,A blank demo profile must be seeded before this check
52,E,35,P1,PARTIAL,Both,3 Chat and conversations,Empty memory degrades safely,On a truly fresh profile choose All memory and send a prompt,The app answers without context or shows a clear empty-state message; no generic crash bubble,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
53,E,36,P1,PARTIAL,Both,3 Chat and conversations,Thinking streams separately,Enable Thinking and ask a reasoning question,Reasoning appears in its own block while the final answer stays separate,Yes,tsx` drives a real rendered turn through the production thinking-stream parser and proves reasoning renders in its own block while the final answer remains separate.,NOT RUN,,,,,
54,E,37,P1,PARTIAL,Both,3 Chat and conversations,Plain reply hides think markers,Disable Thinking and send a plain prompt,No literal think tags or parser markers appear,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
55,E,38,P0,PARTIAL,Both,3 Chat and conversations,Stop before first token,Send a prompt and click Stop during search or classification,Work aborts promptly; no tool or side effect runs; the next send starts normally,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
56,E,39,P0,PARTIAL,Both,3 Chat and conversations,Stop during streaming,Click Stop after answer tokens appear,Streaming ends cleanly and the partial answer remains,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
57,E,40,P1,PARTIAL,Both,3 Chat and conversations,Queued message order,Send a second message while the first reply is still streaming,Messages run in order without collision duplication or loss,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
58,E,41,P0,PARTIAL,Both,3 Chat and conversations,Conversation switch isolation,Start work in conversation A then switch to B,B shows none of A's spinner progress or partial state; A completes against A's history,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
59,E,42,P0,PARTIAL,Both,3 Chat and conversations,Project switch isolation,Start a project-scoped generation then change the project selection,The turn and resulting artifacts stay attributed to the project captured at send time,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
60,E,43,P0,PARTIAL,Both,3 Chat and conversations,Chat survives relaunch,Create several conversations and fully quit,All conversations messages scopes and project associations restore correctly,Yes,Reloading the visible conversation list remains manual.,NOT RUN,,,,,
61,E,44,P2,PROVEN,Both,3 Chat and conversations,Rename conversation,Rename a conversation and navigate away and back,The new name persists everywhere it is shown,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
62,E,45,P1,PARTIAL,Both,3 Chat and conversations,Delete conversation cascades,Create a chat with messages and an artifact then delete it,The chat messages and chat-owned artifact disappear with no orphaned sidebar item,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
63,E,46,P2,PROVEN,Both,3 Chat and conversations,Copy assistant reply,Use the copy action on an assistant message,Pasting into another app yields the expected message text,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Real clipboard boundary
64,E,47,P1,PARTIAL,Both,3 Chat and conversations,Regenerate reply,Regenerate an assistant answer,A new answer is produced from the same conversation context without duplicating the user turn,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
65,E,48,P0,PARTIAL,Both,3 Chat and conversations,Error clears busy state,Trigger a model or gateway failure during a turn,A useful error appears; spinner and Stop clear; another send can run,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
66,E,49,P1,PARTIAL,Both,3 Chat and conversations,Long answer respects configured cap,Raise the response limit and request a long answer,Output can pass the old cap and ends with a clear cutoff state if the new limit is reached,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
67,E,50,P2,PARTIAL,Both,3 Chat and conversations,Keyboard and navigation shortcuts,Use Cmd+[ and Cmd+] after visiting several screens,Back and forward navigate through desktop view history without losing screen state,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
68,E,51,P0,PARTIAL,Both,4 Projects and artifacts,Create a project,Projects -> create a named project,The project appears and survives navigation and relaunch,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
69,E,52,P0,PARTIAL,Both,4 Projects and artifacts,Attach a knowledge document,Open a project and add a supported document,Indexing completes and the document appears once,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
70,E,53,P0,PARTIAL,Both,4 Projects and artifacts,Project retrieval is grounded,Start a chat inside the project and ask about the document,The answer uses relevant document content and does not invent an attachment,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
71,E,54,P1,PARTIAL,Both,4 Projects and artifacts,New chat inherits project,Create a new chat from inside a project,The conversation is filed under that project and retains its knowledge scope,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
72,E,55,P2,PARTIAL,Both,4 Projects and artifacts,Edit project,Change a project's name or details and save,The new values persist in every project surface,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
73,E,56,P0,PARTIAL,Both,4 Projects and artifacts,Delete project cascades,Create a project with chat messages documents and artifacts then delete it,Project-owned records disappear without phantom badges or orphaned artifacts,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
74,E,57,P1,PARTIAL,Both,4 Projects and artifacts,Text artifact saves and reopens,Generate or save a text artifact from chat then open it from its list,The exact content opens and remains after relaunch,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
75,E,58,P1,PARTIAL,Both,4 Projects and artifacts,Image artifact saves and reopens,Generate or save an image artifact then reopen it,The image renders correctly and remains associated with its source,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
76,E,59,P2,PROVEN,Both,4 Projects and artifacts,Project list uses desktop layout,Open Projects with enough seeded items to fill the window,Collection uses multiple columns or an appropriate dense master-detail layout,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,No single 1900px-wide card rows
77,E,60,P1,PARTIAL,Both,4 Projects and artifacts,Unsupported document fails clearly,Attach an unsupported or damaged file,The file is rejected with a specific reason and no half-indexed document remains,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
78,E,61,P0,PARTIAL,Both,5 Image and vision,Text prompt generates an image,Activate an image model; use image mode; send a prompt,Progress advances through generation and one image renders,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
79,E,62,P0,PARTIAL,Both,5 Image and vision,Image cancellation is scoped,Start image generation in chat A; switch to B; return and stop it,Only A owns the progress and cancellation; B remains idle,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
80,E,63,P0,PARTIAL,Both,5 Image and vision,Image cancellation keeps text,Trigger a tool turn that produces text then an image; cancel the image,The text answer remains and is still present after relaunch,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
81,E,64,P1,PARTIAL,Both,5 Image and vision,Image settings apply,Change size steps guidance and seed then generate,Output metadata and dimensions reflect the selected values,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
82,E,65,P1,PARTIAL,Both,5 Image and vision,Image runtime eviction recovers,Generate an image while the chat model is resident then send a chat prompt,The heavy model handoff completes and chat reloads without a dead server,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
83,E,66,P1,PARTIAL,Both,5 Image and vision,Image RAM guard is safe,Choose an image model that exceeds the configured memory budget,Generation is refused with a clear message unless the explicit override is used,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Use a disposable test case; do not induce system-wide OOM
84,E,67,P1,PARTIAL,Both,5 Image and vision,Generated image opens,Click a generated image thumbnail,The existing lightbox opens; close and save controls work,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
85,E,68,P0,PARTIAL,Both,5 Image and vision,Vision answers about attachment,Activate a vision model; attach an image; ask what it contains,The reply describes the attached image and preserves the text prompt,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
86,E,69,P0,PARTIAL,Both,5 Image and vision,Text-only model guards image input,Attach an image while a text-only model is active,The app does not send unsupported image content; it explains or proceeds text-only without engine garbage,Yes,The rendered test still substitutes the preload/API seam.,NOT RUN,,,,,
87,E,70,P1,PARTIAL,Both,5 Image and vision,Damaged image fails safely,Attach a damaged or unsupported image,The app shows a specific error; the conversation remains usable,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
88,E,71,P0,PARTIAL,Both,6 Integrations and gateway,Connector can be added,Integrations -> add a reachable connector and complete its setup,It appears once with a truthful connected state,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
89,E,72,P1,PARTIAL,Both,6 Integrations and gateway,Connector tools load,Open a connected connector and inspect its tools,Real remote tools are listed with stable enable states,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
90,E,73,P0,PARTIAL,Both,6 Integrations and gateway,Connector tool executes,Enable a read-only connector tool and ask chat to use it,A real tool result appears and the final answer uses it,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Prefer a reversible read-only tool for release QA
