Release,Journey ID,Phase,Tier,Priority,Manual test,Exact manual steps,Expected result,Automated test exists,Strict automation status,Automation layer,Automated test evidence,What automation proves,What remains manual,Regression confidence,Confidence rationale,Manual result,Tester,Run date,Evidence path or URL,Defect link,Release notes
0.0.40,11,1 Onboarding and health,Both,P1,Manual setup path works,Choose models manually and complete onboarding,Only the chosen models are downloaded and the app becomes usable,Yes,PARTIAL,Automated test,manual-model-setup.test.ts,"Manual setup path works. `manual-model-setup.test.ts` drives PermissionGate into manual model selection, downloads through the production manager and real catalog, verifies only the chosen GGUF is fetched and promoted, activates it through the real selection owner, and proves the rendered Models card reaches Active while every unchosen model remains absent.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,12,1 Onboarding and health,Both,P1,Onboarding resumes after relaunch,Quit midway through a download or setup step and reopen,The app resumes coherently without losing completed work or duplicating downloads,Yes,COMPLETE,E2E,,"Onboarding resumes after relaunch. The production Electron journey uses a fresh Core profile across three full process launches, proves the saved step and all six capability labels restore, completion clears progress, and an interrupted registry plus `.part` file returns as a failed transfer with the exact Retry UI without losing partial bytes.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,
0.0.40,13,1 Onboarding and health,Both,P0,System Health is truthful,Open System Health and compare each component with actual behavior,Healthy components work; failed components show the captured actionable reason,Yes,PARTIAL,E2E,e2e/smoke.spec.ts,"System Health is truthful. `e2e/smoke.spec.ts` launches a fresh profile, compares the real gateway `/health` payload with the System Health IPC components, verifies absent runtimes are reported as `not_installed`, and confirms the unavailable chat engine port is actually down.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Do not accept a generic Down label when stderr has a cause
0.0.40,14,1 Onboarding and health,Both,P1,Chat engine stderr is surfaced,Temporarily use an incompatible or damaged model and start the engine,System Health reports the classified model or engine failure,Yes,PARTIAL,Integration,,"Chat engine stderr is surfaced. The same integration starts a native child that reports an incompatible `gemma4` architecture and exits, then proves System Health returns the classified engine-too-old reason rather than a generic down message.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Restore a valid model after the check
0.0.40,15,1 Onboarding and health,Both,P0,Required macOS permissions granted,Enable screen recording accessibility microphone and notifications when prompted,Each granted capability becomes healthy without repeated prompts,Yes,PARTIAL,Automated test,permission-recovery.test.ts; media-permission.test.ts,"Required macOS permissions granted. `permission-recovery.test.ts`, `media-permission.test.ts`, Pro notification tests, the live capture scheduler journey, and the connected dictation overlay prove explicit Screen Recording and Accessibility requests, non-prompting health polls, media admission, live recovery, and native notification `.show()`. Granting all four TCC permissions in the signed app and checking relaunch prompts remains manual.",Granting all four TCC permissions in the signed app and checking relaunch prompts remains manual.,LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro capture and dictation need their respective permissions
0.0.40,16,1 Onboarding and health,Both,P1,Denied permission is recoverable,Deny one macOS permission then use its feature,A clear explanation and Settings route appear; the rest of the app stays usable,Yes,PARTIAL,Integration,permission-recovery.test.ts; MemoryChat.microphone-permission.integration.test.tsx,Denied permission is recoverable. `permission-recovery.test.ts` and `MemoryChat.microphone-permission.integration.test.tsx` drive the production permission owners from denied to the correct System Settings target and prove the rendered microphone path stays usable for retry without reloading the app.,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Exercise screen recording and microphone separately
0.0.40,17,2 Models and downloads,Both,P0,Text model downloads,Models -> choose a small chat model -> Download,Progress advances and the model becomes available for activation,Yes,PARTIAL,Integration,model-download-matrix.integration.test.ts,"Text model downloads. `model-download-matrix.integration.test.ts` streams deterministic GGUF bytes through the production manager's HTTP boundary, verifies observable progress and atomic promotion, then activates the installed catalog model through the real selection owner.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,18,2 Models and downloads,Both,P1,Vision model downloads,Download a vision-capable GGUF and its projector,All required files complete and the model is not marked ready early,Yes,PARTIAL,Integration,model-download-matrix.integration.test.ts,"Vision model downloads. `model-download-matrix.integration.test.ts` proves a real catalog vision model remains unavailable until both weights and projector finish, then activates the exact primary/projector pair persisted by the production manager.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,19,2 Models and downloads,Both,P1,Speech model downloads,Download a Whisper or Parakeet model,The model becomes selectable for dictation and is not falsely shown as resident,Yes,PARTIAL,Contract/package gate,,"Speech model downloads. The same matrix downloads every Parakeet file, activates it through the manager, and runs the production transcription selector against only a native executable fake to return synthetic dictation text.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro use path; model management is core
0.0.40,20,2 Models and downloads,Both,P1,TTS model downloads,Download the supported voice model,The model becomes selectable and can speak a reply,Yes,PARTIAL,Integration + Contract/package gate,model-download-tts.integration.dbtest.ts,"TTS model downloads. `model-download-tts.integration.dbtest.ts` downloads all voice files, activates SQLite-backed speech residency, and drives production synthesis to a valid WAV through only the heavyweight worker boundary. The release gate separately synthesizes non-zero PCM from the exact packaged ASAR worker, but it does not consume the model through the download journey.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro use path; model management is core
0.0.40,21,2 Models and downloads,Both,P1,Image model downloads,Download an image model and wait for extraction,It becomes usable only after every required file and extraction step completes,Yes,PARTIAL,Automated test,,"Image model downloads. The model matrix holds a multi-file catalog image runtime unavailable until its full file set lands, then proves the production image status and active selection agree.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,22,2 Models and downloads,Both,P1,Multiple downloads queue,Start more downloads than the concurrency limit,Running and queued counts agree; the queue drains without dropping an item,Yes,PARTIAL,Automated test,,"Multiple downloads queue. Production download ownership enforces three active transfers, exposes FIFO queued state, rejects duplicate queued IDs, cancels queued work, and drains four real transfer promises without dropping or prematurely resolving any model.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,23,2 Models and downloads,Both,P1,Delete does not cancel another download,Delete an installed model while another model is downloading,The in-flight download continues and only the selected model is removed,Yes,PARTIAL,Integration,,"Delete does not cancel another download. The matrix holds one real HTTP download pending, deletes a different installed model through the production manager, then completes and installs the untouched in-flight model.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,24,2 Models and downloads,Both,P1,Offline download fails clearly,Disable network access and start a new model download,A connection error appears with a usable retry path and no phantom ready model,Yes,PARTIAL,Integration,model-integrity.integration.test.ts,"Offline download fails clearly. `model-integrity.integration.test.ts` drives the real model manager through an offline fetch failure, verifies a clear network-unavailable error and clean filesystem state, preserves an existing installed model, then retries successfully with the same manager and exact GGUF bytes.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Real network boundary
0.0.40,25,2 Models and downloads,Both,P0,Interrupted download recovers,Quit the app during a download and reopen,The item resumes or becomes explicitly retryable; it never remains falsely ready,Yes,PARTIAL,Integration,model-integrity.integration.test.ts,"Interrupted download recovers. `model-integrity.integration.test.ts` interrupts a real streamed partial, reloads the manager, resumes with the correct HTTP range, verifies exact final bytes and installation, then reloads again to prove completed state stays cleared.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,26,2 Models and downloads,Both,P0,Truncated GGUF is rejected,Interrupt or substitute a file below the integrity floor,The file is not promoted to installed or loadable,Yes,PARTIAL,Integration,model-integrity.integration.test.ts,"Truncated GGUF is rejected. `model-integrity.integration.test.ts` drives the real model manager against a temp filesystem, with only HTTP delivery faked, and proves truncated downloads and local imports are rejected before promotion, installation, copying, or registration.","ts` drives the real model manager against a temp filesystem, with only HTTP delivery faked, and proves truncated downloads and local imports are rejected before promotion, installation, copying, or registration.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Adversarial release check
0.0.40,27,2 Models and downloads,Both,P0,Disk write failure does not crash,Use a nearly full disposable volume or unwritable test location and start a download,The download fails; Off Grid AI Desktop stays open and other features remain usable,Yes,PARTIAL,Integration,,"Disk write failure does not crash. The same real model-manager integration injects `ENOSPC` only at the OS write boundary and proves the error is contained, no partial model is installed, failed status is recorded, and an existing installed model remains readable.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Never risk a real data volume
0.0.40,28,2 Models and downloads,Both,P0,Active text model survives relaunch,Activate a chat model; quit fully; reopen,The same model remains active and answers a new message,Yes,PARTIAL,Integration,model-integrity.integration.test.ts,"Active text model survives relaunch. `model-integrity.integration.test.ts` installs and activates a real catalog text fixture through the production model manager, reloads every module, and proves the same installed model remains the active chat selection.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,29,2 Models and downloads,Both,P1,Active modal models survive relaunch,Activate image STT and TTS choices; quit fully; reopen,Each modality restores its own selection without cross-over,Yes,COMPLETE,Integration,model-integrity.integration.test.ts,"Active modal models survive relaunch. `model-integrity.integration.test.ts` installs and activates real image, STT, and TTS catalog fixtures, reloads every manager module, and proves each persisted modality restores its own selection without crossing into another modality.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,
0.0.40,30,2 Models and downloads,Both,P1,Deleting active model clears selection,Activate then delete a model for each available modality,No dangling active pointer remains; the UI asks for or selects a valid replacement,Yes,COMPLETE,Integration + Contract/package gate,model-integrity.integration.test.ts,"Deleting an active model clears selection. `model-integrity.integration.test.ts` activates installed text, vision, image, speech, and transcription fixtures through the production model manager, deletes each one, and proves all runtime and persisted selections remain cleared after a fresh module load.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,
0.0.40,31,2 Models and downloads,Both,P2,Models use desktop density,Resize the window across normal desktop widths,Model cards form a dense multi-column grid; controls stay beside their card content,Yes,PARTIAL,E2E,e2e/desktop-polish.spec.ts,Models use desktop density. `e2e/desktop-polish.spec.ts` resizes the real Electron window from 1280 to 1800 pixels and proves the production model collection forms three then four computed columns while its controls remain reachable.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Visual check against docs/DESIGN.md
0.0.40,32,3 Chat and conversations,Both,P0,First local message replies,Select a local text model; create a chat; send a prompt,A response streams into one assistant bubble and is persisted,Yes,PARTIAL,Automated test,MemoryChat.chat-lifecycle.test.tsx,"First local message replies. `MemoryChat.chat-lifecycle.test.tsx` sends through the real rendered composer, routes a streamed token through production ownership, resolves the local-model boundary, and proves one assistant bubble with the exact answer is persisted once.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,33,3 Chat and conversations,Both,P0,No memory scope works,Choose No memory and send a prompt,The reply uses the conversation only and the selected scope remains visible,Yes,PARTIAL,Integration,,"No memory scope works. The same rendered integration keeps No memory visibly selected, sends a turn through the production chat path with retrieval disabled and no project scope, then renders the conversation-only answer normally.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,34,3 Chat and conversations,Both,P0,All memory scope works,Seed or capture memory; choose All memory; ask about it,The answer uses retrieved local context and citations where applicable,Yes,PARTIAL,Integration + Contract/package gate,rag-empty-memory.dbtest.ts,"All memory scope works. `rag-empty-memory.dbtest.ts` seeds a synthetic capture into real SQLite/FTS storage, invokes the production `rag:chat` IPC handler in All memory mode, and proves the local-model prompt, answer, streamed retrieval count, and returned `[S1]` citation all carry the exact matching source.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,A blank demo profile must be seeded before this check
0.0.40,35,3 Chat and conversations,Both,P1,Empty memory degrades safely,On a truly fresh profile choose All memory and send a prompt,The app answers without context or shows a clear empty-state message; no generic crash bubble,Yes,PARTIAL,Integration,rag-empty-memory.dbtest.ts,"Empty memory degrades safely. `rag-empty-memory.dbtest.ts` invokes the real `rag:chat` IPC handler on an empty SQLite/RAG corpus, verifies a normal answer, empty context and zero retrieval counts, then completes an immediate second turn to prove the queue and controller were released.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,36,3 Chat and conversations,Both,P1,Thinking streams separately,Enable Thinking and ask a reasoning question,Reasoning appears in its own block while the final answer stays separate,Yes,PARTIAL,Automated test,MemoryChat.chat-lifecycle.test.tsx,Thinking streams separately. `MemoryChat.chat-lifecycle.test.tsx` drives a real rendered turn through the production thinking-stream parser and proves reasoning renders in its own block while the final answer remains separate.,tsx` drives a real rendered turn through the production thinking-stream parser and proves reasoning renders in its own block while the final answer remains separate.,MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,37,3 Chat and conversations,Both,P1,Plain reply hides think markers,Disable Thinking and send a plain prompt,No literal think tags or parser markers appear,Yes,PARTIAL,Automated test,,Plain reply hides think markers. The same rendered production path proves a plain reply exposes no parser markers or literal think tags while preserving the final response.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,38,3 Chat and conversations,Both,P0,Stop before first token,Send a prompt and click Stop during search or classification,Work aborts promptly; no tool or side effect runs; the next send starts normally,Yes,PARTIAL,Automated test,MemoryChat.chat-lifecycle.test.tsx,"Stop before first token. `MemoryChat.chat-lifecycle.test.tsx` holds the real rendered turn at the preload persistence boundary, clicks Stop during the pre-stream window, proves the model transport never starts, and immediately completes a second turn normally.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,39,3 Chat and conversations,Both,P0,Stop during streaming,Click Stop after answer tokens appear,Streaming ends cleanly and the partial answer remains,Yes,PARTIAL,Integration,,"Stop during streaming. The same integration routes a live token through production stream ownership, clicks Stop, verifies cancellation uses that stream ID, and proves the partial answer remains visible and persisted while the busy state clears.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,40,3 Chat and conversations,Both,P1,Queued message order,Send a second message while the first reply is still streaming,Messages run in order without collision duplication or loss,Yes,PARTIAL,Automated test,MemoryChat.chat-lifecycle.test.tsx,"Queued message order. `MemoryChat.chat-lifecycle.test.tsx` sends a second message through the real composer while the first model-boundary promise is pending, then proves production queue draining preserves user/assistant order without collision, duplication, or loss.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,41,3 Chat and conversations,Both,P0,Conversation switch isolation,Start work in conversation A then switch to B,B shows none of A's spinner progress or partial state; A completes against A's history,Yes,PARTIAL,Integration,,"Conversation switch isolation. The same integration starts and streams conversation A, switches the rendered screen to B, proves B receives none of A's partial or completed state, then reopens A and retrieves its correctly persisted result.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,42,3 Chat and conversations,Both,P0,Project switch isolation,Start a project-scoped generation then change the project selection,The turn and resulting artifacts stay attributed to the project captured at send time,Yes,PARTIAL,Integration,,"Project switch isolation. The same integration sends from Project Alpha, changes the real project selector to Project Beta while the model boundary is pending, and proves the result and parsed HTML artifact retain the Alpha project and conversation captured at send time.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,43,3 Chat and conversations,Both,P0,Chat survives relaunch,Create several conversations and fully quit,All conversations messages scopes and project associations restore correctly,Yes,PARTIAL,E2E,e2e/chat-memory.spec.ts,"Chat survives relaunch. `e2e/chat-memory.spec.ts` creates multiple scoped and unscoped conversations with messages and context through production IPC, fully closes Electron, reopens the same profile, and verifies every association and payload through the reloaded preload path.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,44,3 Chat and conversations,Both,P2,Rename conversation,Rename a conversation and navigate away and back,The new name persists everywhere it is shown,Yes,COMPLETE,E2E,e2e/chat-actions.spec.ts,"Rename conversation. `e2e/chat-actions.spec.ts` drives the real Electron UI through rename, production preload/IPC and SQLite, verifies the old title disappears, navigates to another conversation and back, then fully relaunches on the same profile and restores the new title.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,
0.0.40,45,3 Chat and conversations,Both,P1,Delete conversation cascades,Create a chat with messages and an artifact then delete it,The chat messages and chat-owned artifact disappear with no orphaned sidebar item,Yes,PARTIAL,Integration,conversation-delete-cascade.dbtest.ts,Delete conversation cascades. `conversation-delete-cascade.dbtest.ts` proves real messages and artifacts do not survive conversation deletion.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
